Animal,Treatment,Glucose.0,Glucose.10
Control1,Control,1.599,1.599
Control2,Control,0.84,0.7
Control3,Control,0.22,0.1
Control4,Control,0.513,0.454
Control5,Control,0.592,0.513
Control6,Control,0.356,0.396
Control7,Control,0.595,0.595
Control8,Control,0.48,0.3
DCI1,DCI,0.705,0.604
DCI2,DCI,NA,0.588
DCI3,DCI,0.689,0.709
DCI4,DCI,0.686,0.429
DCI5,DCI,0.423,0.262
DCI6,DCI,0.411,0.534
DCI7,DCI,0.454,0.217
DCI8,DCI,0.52,0.42
Insulin1,Insulin,1.044,1.567
Insulin2,Insulin,1.172,0.834
Insulin3,Insulin,0.7,0.38
Insulin4,Insulin,0.403,0.181
Insulin5,Insulin,0.68,0.44
Insulin6,Insulin,0.76,0.56
Insulin7,Insulin,1.083,0.963
MI1,MI,0.276,0.631
MI2,MI,0.834,0.457
MI3,MI,0.374,0.453
MI4,MI,0.67,0.611
MI5,MI,0.513,0.375
MI6,MI,0.74,0.56
MI7,MI,0.51,0.49
MI7,MI,0.51,0.49
